source_file,event_name,date,start_time,end_time,stage_or_venue,session_title,session_type,session_description,speaker_name,speaker_title,speaker_company,topic_category,raw_text,confidence_level,notes,clean_session_title,topic_v2
IMG_3323.PNG,Blockchain Futurist Conference,,08:00 am,06:00 pm,Futurist,Registration Open,,,,,,Other,"< Agenda
2 Filters Q Search
5 Registration Open

08:00 am - 06:00 pm HH

Nov [FF
© Futurist e Futurist
Day 1 Main Stage Opening &
Welcoming Remarks
09:00 am - 09:10 am It
Mahyar Akhbari (Blockchain Futurist ia
Conference)
© Main Stage e Main Stage
Blockchain Bootcamp
Doors Open

I=

09:05 am - 09:30 am [FF
© Rooftop Stage e Bootcamp
Virtual Welcoming from The
Florida House of
Representatives: Blockchain and
State Government: How Florida
is Leading on FinTech Policies FA
09:10 am - 09:15 am
Representative Webster Barnaby (Florida
House of Representatives)
© Main Stage e Main Stage
Welcoming from the Florida
Blockchain Business Association
09:15 am - 09:20 am ""
Samuel Armes Oj
© Main Stage e Main Stage",high,No full date visible in OCR. No speaker name visible or confidently extracted.,Registration Open,Other
IMG_3323.PNG,Blockchain Futurist Conference,,09:00 am,09:10 am,Main Stage,Welcoming Remarks,Opening / Welcome,,Mahyar Akhbari,,Blockchain Futurist Conference,Other,"< Agenda
2 Filters Q Search
5 Registration Open

08:00 am - 06:00 pm HH

Nov [FF
© Futurist e Futurist
Day 1 Main Stage Opening &
Welcoming Remarks
09:00 am - 09:10 am It
Mahyar Akhbari (Blockchain Futurist ia
Conference)
© Main Stage e Main Stage
Blockchain Bootcamp
Doors Open

I=

09:05 am - 09:30 am [FF
© Rooftop Stage e Bootcamp
Virtual Welcoming from The
Florida House of
Representatives: Blockchain and
State Government: How Florida
is Leading on FinTech Policies FA
09:10 am - 09:15 am
Representative Webster Barnaby (Florida
House of Representatives)
© Main Stage e Main Stage
Welcoming from the Florida
Blockchain Business Association
09:15 am - 09:20 am ""
Samuel Armes Oj
© Main Stage e Main Stage",high,No full date visible in OCR.,Welcoming Remarks,Other
IMG_3323.PNG,Blockchain Futurist Conference,,09:05 am,09:30 am,Rooftop Stage | Bootcamp,Doors Open,,,,,,Other,"< Agenda
2 Filters Q Search
5 Registration Open

08:00 am - 06:00 pm HH

Nov [FF
© Futurist e Futurist
Day 1 Main Stage Opening &
Welcoming Remarks
09:00 am - 09:10 am It
Mahyar Akhbari (Blockchain Futurist ia
Conference)
© Main Stage e Main Stage
Blockchain Bootcamp
Doors Open

I=

09:05 am - 09:30 am [FF
© Rooftop Stage e Bootcamp
Virtual Welcoming from The
Florida House of
Representatives: Blockchain and
State Government: How Florida
is Leading on FinTech Policies FA
09:10 am - 09:15 am
Representative Webster Barnaby (Florida
House of Representatives)
© Main Stage e Main Stage
Welcoming from the Florida
Blockchain Business Association
09:15 am - 09:20 am ""
Samuel Armes Oj
© Main Stage e Main Stage",high,No full date visible in OCR. No speaker name visible or confidently extracted.,Doors Open,Other
IMG_3323.PNG,Blockchain Futurist Conference,,09:10 am,09:15 am,Main Stage,Virtual Welcoming from The Florida House of Representatives: Blockchain and State Government: How Florida is Leading on FinTech Policies,Opening / Welcome,,Representative Webster Barnaby,,Florida House of Representatives,Stablecoins / Payments,"< Agenda
2 Filters Q Search
5 Registration Open

08:00 am - 06:00 pm HH

Nov [FF
© Futurist e Futurist
Day 1 Main Stage Opening &
Welcoming Remarks
09:00 am - 09:10 am It
Mahyar Akhbari (Blockchain Futurist ia
Conference)
© Main Stage e Main Stage
Blockchain Bootcamp
Doors Open

I=

09:05 am - 09:30 am [FF
© Rooftop Stage e Bootcamp
Virtual Welcoming from The
Florida House of
Representatives: Blockchain and
State Government: How Florida
is Leading on FinTech Policies FA
09:10 am - 09:15 am
Representative Webster Barnaby (Florida
House of Representatives)
© Main Stage e Main Stage
Welcoming from the Florida
Blockchain Business Association
09:15 am - 09:20 am ""
Samuel Armes Oj
© Main Stage e Main Stage",high,No full date visible in OCR.,Virtual Welcoming from The Florida House of Representatives: Blockchain and State Government: How Florida is Leading on FinTech Policies,Payments
IMG_3323.PNG,Blockchain Futurist Conference,,09:15 am,09:20 am,Main Stage,Welcoming from the Florida Blockchain Business Association,Opening / Welcome,,Samuel Armes,,,Other,"< Agenda
2 Filters Q Search
5 Registration Open

08:00 am - 06:00 pm HH

Nov [FF
© Futurist e Futurist
Day 1 Main Stage Opening &
Welcoming Remarks
09:00 am - 09:10 am It
Mahyar Akhbari (Blockchain Futurist ia
Conference)
© Main Stage e Main Stage
Blockchain Bootcamp
Doors Open

I=

09:05 am - 09:30 am [FF
© Rooftop Stage e Bootcamp
Virtual Welcoming from The
Florida House of
Representatives: Blockchain and
State Government: How Florida
is Leading on FinTech Policies FA
09:10 am - 09:15 am
Representative Webster Barnaby (Florida
House of Representatives)
© Main Stage e Main Stage
Welcoming from the Florida
Blockchain Business Association
09:15 am - 09:20 am ""
Samuel Armes Oj
© Main Stage e Main Stage",high,No full date visible in OCR. Speaker/company pattern not confidently parsed. Speaker company not visible or confidently extracted.,Welcoming from the Florida Blockchain Business Association,Enterprise Blockchain
IMG_3324.PNG,Blockchain Futurist Conference,,09:25 am,09:45 am,Main Stage,Fireside Chat: From Bitcoin Miner to Digital Reserve: Operating at Public-Markets Scale in Crypto,Fireside Chat,,Jaime Leverton,,ReserveOne,Bitcoin,"< Agenda
2 Filters Q Search
Fireside Chat: From Bitcoin
Miner to Digital Reserve:
Operating at Public-Markets
Scale in Crypto 7
09:25 am - 09:45 am ia
Jaime Leverton (ReserveOne), Jason Brett
(Founder, Ben Franklin Digital Reserve)
© Main Stage e Main Stage
Bootcamp Welcoming and
Opening Remarks
I=

09:30 am - 09:35 am [FF
© Rooftop Stage e Bootcamp
ETHWomen Doors Open
09:30 am - 10:00 am A
© Argentum Al Stage @ Entice e ETHWomen
Bootcamp for Beginners - Crypto
& Web3 .
09:30 am - 11:30 am [4
© Rooftop Stage e Events
Blockchain Bootcamp by
Blockchain Institute of
Technology: Blockchain in Supply
Chain Management
Transparency, Trust, and Real- 7
World Adoption i
09:35 am - 09:50 am
George Levy (Blockchain Institute of
Technology)
© Rooftop Stage e Bootcamp",high,No full date visible in OCR.,Fireside Chat: From Bitcoin Miner to Digital Reserve: Operating at Public-Markets Scale in Crypto,Bitcoin
IMG_3324.PNG,Blockchain Futurist Conference,,09:25 am,09:45 am,Main Stage,Fireside Chat: From Bitcoin Miner to Digital Reserve: Operating at Public-Markets Scale in Crypto,Fireside Chat,,Jason Brett,Founder,Ben Franklin Digital Reserve,Bitcoin,"< Agenda
2 Filters Q Search
Fireside Chat: From Bitcoin
Miner to Digital Reserve:
Operating at Public-Markets
Scale in Crypto 7
09:25 am - 09:45 am ia
Jaime Leverton (ReserveOne), Jason Brett
(Founder, Ben Franklin Digital Reserve)
© Main Stage e Main Stage
Bootcamp Welcoming and
Opening Remarks
I=

09:30 am - 09:35 am [FF
© Rooftop Stage e Bootcamp
ETHWomen Doors Open
09:30 am - 10:00 am A
© Argentum Al Stage @ Entice e ETHWomen
Bootcamp for Beginners - Crypto
& Web3 .
09:30 am - 11:30 am [4
© Rooftop Stage e Events
Blockchain Bootcamp by
Blockchain Institute of
Technology: Blockchain in Supply
Chain Management
Transparency, Trust, and Real- 7
World Adoption i
09:35 am - 09:50 am
George Levy (Blockchain Institute of
Technology)
© Rooftop Stage e Bootcamp",high,No full date visible in OCR.,Fireside Chat: From Bitcoin Miner to Digital Reserve: Operating at Public-Markets Scale in Crypto,Bitcoin
IMG_3324.PNG,Blockchain Futurist Conference,,09:30 am,09:35 am,Rooftop Stage | Bootcamp,Opening Remarks,Opening / Welcome,,,,,Other,"< Agenda
2 Filters Q Search
Fireside Chat: From Bitcoin
Miner to Digital Reserve:
Operating at Public-Markets
Scale in Crypto 7
09:25 am - 09:45 am ia
Jaime Leverton (ReserveOne), Jason Brett
(Founder, Ben Franklin Digital Reserve)
© Main Stage e Main Stage
Bootcamp Welcoming and
Opening Remarks
I=

09:30 am - 09:35 am [FF
© Rooftop Stage e Bootcamp
ETHWomen Doors Open
09:30 am - 10:00 am A
© Argentum Al Stage @ Entice e ETHWomen
Bootcamp for Beginners - Crypto
& Web3 .
09:30 am - 11:30 am [4
© Rooftop Stage e Events
Blockchain Bootcamp by
Blockchain Institute of
Technology: Blockchain in Supply
Chain Management
Transparency, Trust, and Real- 7
World Adoption i
09:35 am - 09:50 am
George Levy (Blockchain Institute of
Technology)
© Rooftop Stage e Bootcamp",high,No full date visible in OCR. No speaker name visible or confidently extracted.,Opening Remarks,Other
IMG_3324.PNG,Blockchain Futurist Conference,,09:30 am,10:00 am,Argentum AI Stage @ Entice | ETHWomen,ETHWomen Doors Open,,,,,,Other,"< Agenda
2 Filters Q Search
Fireside Chat: From Bitcoin
Miner to Digital Reserve:
Operating at Public-Markets
Scale in Crypto 7
09:25 am - 09:45 am ia
Jaime Leverton (ReserveOne), Jason Brett
(Founder, Ben Franklin Digital Reserve)
© Main Stage e Main Stage
Bootcamp Welcoming and
Opening Remarks
I=

09:30 am - 09:35 am [FF
© Rooftop Stage e Bootcamp
ETHWomen Doors Open
09:30 am - 10:00 am A
© Argentum Al Stage @ Entice e ETHWomen
Bootcamp for Beginners - Crypto
& Web3 .
09:30 am - 11:30 am [4
© Rooftop Stage e Events
Blockchain Bootcamp by
Blockchain Institute of
Technology: Blockchain in Supply
Chain Management
Transparency, Trust, and Real- 7
World Adoption i
09:35 am - 09:50 am
George Levy (Blockchain Institute of
Technology)
© Rooftop Stage e Bootcamp",high,No full date visible in OCR. No speaker name visible or confidently extracted.,ETHWomen Doors Open,Ethereum
IMG_3324.PNG,Blockchain Futurist Conference,,09:30 am,11:30 am,Rooftop Stage | Events,& Web3 .,,,,,,Infrastructure,"< Agenda
2 Filters Q Search
Fireside Chat: From Bitcoin
Miner to Digital Reserve:
Operating at Public-Markets
Scale in Crypto 7
09:25 am - 09:45 am ia
Jaime Leverton (ReserveOne), Jason Brett
(Founder, Ben Franklin Digital Reserve)
© Main Stage e Main Stage
Bootcamp Welcoming and
Opening Remarks
I=

09:30 am - 09:35 am [FF
© Rooftop Stage e Bootcamp
ETHWomen Doors Open
09:30 am - 10:00 am A
© Argentum Al Stage @ Entice e ETHWomen
Bootcamp for Beginners - Crypto
& Web3 .
09:30 am - 11:30 am [4
© Rooftop Stage e Events
Blockchain Bootcamp by
Blockchain Institute of
Technology: Blockchain in Supply
Chain Management
Transparency, Trust, and Real- 7
World Adoption i
09:35 am - 09:50 am
George Levy (Blockchain Institute of
Technology)
© Rooftop Stage e Bootcamp",low,No full date visible in OCR. Session title contains likely OCR artifacts. No speaker name visible or confidently extracted.,Web3.,Infrastructure
IMG_3324.PNG,Blockchain Futurist Conference,,09:35 am,09:50 am,Rooftop Stage | Bootcamp,"Blockchain Institute of Technology: Blockchain in Supply Chain Management Transparency, Trust, and Real- 7 World Adoption i",,,George Levy,,Blockchain Institute of Technology,Other,"< Agenda
2 Filters Q Search
Fireside Chat: From Bitcoin
Miner to Digital Reserve:
Operating at Public-Markets
Scale in Crypto 7
09:25 am - 09:45 am ia
Jaime Leverton (ReserveOne), Jason Brett
(Founder, Ben Franklin Digital Reserve)
© Main Stage e Main Stage
Bootcamp Welcoming and
Opening Remarks
I=

09:30 am - 09:35 am [FF
© Rooftop Stage e Bootcamp
ETHWomen Doors Open
09:30 am - 10:00 am A
© Argentum Al Stage @ Entice e ETHWomen
Bootcamp for Beginners - Crypto
& Web3 .
09:30 am - 11:30 am [4
© Rooftop Stage e Events
Blockchain Bootcamp by
Blockchain Institute of
Technology: Blockchain in Supply
Chain Management
Transparency, Trust, and Real- 7
World Adoption i
09:35 am - 09:50 am
George Levy (Blockchain Institute of
Technology)
© Rooftop Stage e Bootcamp",high,No full date visible in OCR.,"Blockchain Institute of Technology: Blockchain in Supply Chain Management Transparency, Trust, and Real- 7 World Adoption i",Education
